<Date>,<Close>,<Open>,<High>,<Low>,<Volume>
2005-08-24,248.41,247.98,248.41,247.98,695350
2005-08-25,249.07,248.64,249.07,248.64,794160
2005-08-26,249.74,249.38,249.74,249.38,384320
2005-08-29,253.70,251.05,253.70,251.05,1008760
2005-08-30,255.94,255.92,255.94,255.92,684420
2005-08-31,254.50,256.23,256.23,254.50,1520670
2005-09-01,254.95,255.02,255.02,254.95,366170
2005-09-05,255.55,254.56,255.55,254.56,6658435
2005-09-06,257.58,255.68,257.58,255.68,473710
2005-09-07,259.57,258.73,259.57,258.73,4252490
2005-09-08,260.61,262.27,262.27,260.61,1356360
2005-09-09,259.96,260.45,260.45,259.96,1740467
2005-09-12,262.18,262.90,262.90,262.18,934220
2005-09-13,264.09,263.41,264.09,263.41,1094170
2005-09-14,264.03,264.51,264.51,264.03,3062626
2005-09-15,265.49,265.03,265.49,265.03,1749200
2005-09-16,268.08,268.19,268.19,268.08,874670
2005-09-19,274.81,270.07,274.81,270.07,1879960
2005-09-20,285.99,284.55,285.99,284.55,2410800
2005-09-21,276.61,288.46,288.46,276.61,1738380
2005-09-22,280.40,277.78,280.40,277.78,2775009
2005-09-23,278.35,281.28,281.28,278.35,961590
2005-09-26,277.54,278.84,278.84,277.54,4085590
2005-09-27,276.49,277.18,277.18,276.49,2207101
2005-09-28,275.63,275.62,275.63,275.62,2183490
2005-09-29,275.95,275.97,275.97,275.95,762590
2005-09-30,289.33,289.18,289.33,289.18,1505870
2005-10-03,286.00,289.95,289.95,286.00,1641820
2005-10-05,286.34,285.01,286.34,285.01,1373515
2005-10-06,288.14,286.96,288.14,286.96,1578280
2005-10-07,291.30,289.68,291.30,289.68,3129880
2005-10-10,292.11,292.45,292.45,292.11,784170
2005-10-11,291.34,291.98,291.98,291.34,2436020
2005-10-12,292.35,291.88,292.35,291.88,2265060
2005-10-13,298.74,296.59,298.74,296.59,2781340
2005-10-14,304.10,302.70,304.10,302.70,1479740
2005-10-17,310.20,310.01,310.20,310.01,3345250
2005-10-18,307.09,311.39,311.39,307.09,2542680
2005-10-19,306.46,305.19,306.46,305.19,4040980
2005-10-20,307.05,307.71,307.71,307.05,3234620
2005-10-21,306.72,307.27,307.27,306.72,2306144
2005-10-24,306.90,306.57,306.90,306.57,7043271
2005-10-25,305.11,306.28,306.28,305.11,2704820
2005-10-26,300.53,302.14,302.14,300.53,2365889
2005-10-27,300.98,297.95,300.98,297.95,1484620
2005-10-28,305.38,305.40,305.40,305.38,2283582
2005-10-31,307.40,307.31,307.40,307.31,2721480
2005-11-01,310.51,310.34,310.51,310.34,1585139
2005-11-02,315.56,314.60,315.56,314.60,2552870
2005-11-03,322.52,321.99,322.52,321.99,1807460
2005-11-04,321.15,325.25,325.25,321.15,1148700
2005-11-07,322.59,321.52,322.59,321.52,1715190
2005-11-08,321.35,322.81,322.81,321.35,1918060
2005-11-09,320.56,321.32,321.32,320.56,1653510
2005-11-10,319.13,320.81,320.81,319.13,5401611
2005-11-11,317.73,318.52,318.52,317.73,851530
2005-11-14,317.83,317.77,317.83,317.77,2844260
2005-11-15,317.06,318.47,318.47,317.06,1176597
2005-11-16,315.90,316.16,316.16,315.90,561920
2005-11-17,313.91,314.85,314.85,313.91,1104140
2005-11-18,312.50,312.58,312.58,312.50,738710
2005-11-21,311.80,312.72,312.72,311.80,2482280
2005-11-22,308.53,310.84,310.84,308.53,1112870
2005-11-23,305.50,307.78,307.78,305.50,2872230
2005-11-24,301.78,301.82,301.82,301.78,1590060
2005-11-25,309.47,306.53,309.47,306.53,1017990
2005-11-28,308.18,310.42,310.42,308.18,1763519
2005-11-29,307.77,306.19,307.77,306.19,870220
2005-11-30,311.33,309.16,311.33,309.16,1142828
2005-12-01,312.09,311.22,312.09,311.22,886080
2005-12-02,312.43,313.01,313.01,312.43,616140
2005-12-05,312.86,312.53,312.86,312.53,795000
2005-12-06,312.29,312.43,312.43,312.29,433570
2005-12-07,312.31,312.40,312.40,312.31,2646220
2005-12-08,313.09,312.83,313.09,312.83,3370820
2005-12-09,315.79,314.24,315.79,314.24,1503700
2005-12-12,316.88,317.75,317.75,316.88,804642
2005-12-13,316.73,316.80,316.80,316.73,777500
2005-12-14,314.94,316.55,316.55,314.94,4321592
2005-12-15,314.08,315.47,315.47,314.08,866580
2005-12-16,314.49,314.57,314.57,314.49,556800
2005-12-19,311.60,314.22,314.22,311.60,924178
2005-12-20,311.83,313.70,314.22,313.66,1086280
2005-12-22,309.96,308.43,309.96,308.43,478530
2005-12-23,309.14,309.67,309.67,309.14,894660
2005-12-26,309.26,309.56,309.56,309.26,836960
2005-12-27,308.42,309.70,309.70,308.42,1439980
2005-12-28,307.32,307.59,307.59,307.32,1272660
2005-12-29,308.80,306.60,308.80,306.60,3171890
2005-12-30,307.50,310.46,310.46,307.50,729860
2006-01-03,305.28,306.86,306.86,305.28,322070
2006-01-04,305.09,305.30,305.30,305.09,2084800
2006-01-05,306.71,305.59,306.71,305.59,1091325
2006-01-06,307.50,307.47,307.50,307.47,1141120
2006-01-09,306.31,307.76,307.76,306.31,2752682
2006-01-10,306.35,306.75,306.75,306.35,1587670
2006-01-11,304.96,305.82,305.82,304.96,1162280
2006-01-12,304.23,304.30,304.30,304.23,1237780
2006-01-13,306.83,305.82,306.83,305.82,2629620
2006-01-17,308.94,307.79,308.94,307.79,1007090
2006-01-18,310.38,309.90,310.38,309.90,1033170
2006-01-19,310.52,310.64,310.64,310.52,1263170
2006-01-20,313.38,316.64,316.64,313.38,712597
2006-01-23,308.31,313.49,313.49,308.31,1019100
2006-01-24,306.84,308.21,308.21,306.84,487410
2006-01-25,310.86,307.06,310.86,307.06,1045100
2006-01-26,313.30,312.92,313.30,312.92,690130
2006-01-27,312.32,312.29,312.32,312.29,375340
2006-02-06,313.14,314.03,314.03,313.14,1393060
2006-02-07,318.95,317.43,318.95,317.43,1037110
2006-02-08,325.00,324.28,325.00,324.28,1262890
2006-02-09,325.54,325.30,325.54,325.30,1420760
2006-02-10,325.17,322.57,325.17,322.57,1379630
2006-02-13,324.46,324.69,324.69,324.46,1015700
2006-02-14,325.59,324.61,325.59,324.61,1530315
2006-02-15,327.67,327.10,327.67,327.10,1409350
2006-02-16,331.06,330.80,331.06,330.80,1734548
2006-02-17,339.83,335.27,339.83,335.27,1546490
2006-02-20,353.96,351.45,353.96,351.45,1754430
2006-02-21,366.46,366.72,366.72,366.46,2065250
2006-02-22,364.44,373.28,373.28,364.44,2245670
2006-02-23,368.93,367.91,368.93,367.91,1527620
2006-02-24,373.50,373.31,373.50,373.31,1800600
2006-02-27,379.57,377.40,379.57,377.40,2128210
2006-02-28,390.65,383.19,390.65,383.19,1799310
2006-03-01,401.90,402.15,402.15,401.90,1774230
2006-03-02,412.82,409.77,412.82,409.77,745230
2006-03-03,397.95,415.56,415.56,397.95,3618350
2006-03-06,409.76,401.36,409.76,401.36,2253280
2006-03-07,413.33,413.05,413.33,413.05,890490
2006-03-08,409.28,412.98,412.98,409.28,2020010
2006-03-09,412.12,413.20,413.20,412.12,1525430
2006-03-10,414.36,415.45,415.45,414.36,1767790
2006-03-13,424.46,422.97,424.46,422.97,2060760
2006-03-14,432.21,431.10,432.21,431.10,2059380
2006-03-15,427.59,435.41,435.41,427.59,752050
2006-03-16,432.86,434.56,434.56,432.86,2093300
2006-03-17,443.19,436.59,443.19,436.59,2043360
2006-03-20,453.48,450.15,453.48,450.15,2145030
2006-03-21,462.69,461.56,462.69,461.56,2175570
2006-03-22,459.36,468.73,468.73,459.36,1262310
2006-03-23,459.42,460.21,460.21,459.42,2191970
2006-03-24,456.06,457.94,457.94,456.06,1876630
2006-03-27,463.00,460.46,463.00,460.46,2077880
2006-03-28,466.47,467.60,467.60,466.47,2138920
2006-03-29,474.79,471.41,474.79,471.41,1042120
2006-03-30,493.41,492.08,493.41,492.08,1013310
2006-03-31,503.56,507.10,507.10,503.56,2240400
2006-04-03,523.32,520.53,523.32,520.53,1084730
2006-04-04,505.42,536.30,536.30,505.42,1216810
2006-04-05,521.12,517.50,521.12,517.50,1199480
2006-04-06,532.69,533.87,533.87,532.69,1410590
2006-04-07,544.71,540.94,544.71,540.94,1175770
2006-04-10,540.36,551.26,551.26,540.36,6222716
2006-04-11,528.63,536.49,536.49,528.63,5516490
2006-04-13,551.60,546.81,551.60,546.81,975470
2006-04-14,555.15,558.38,558.38,555.15,954670
2006-04-17,561.09,561.32,561.32,561.09,1037810
2006-04-18,570.94,569.17,570.94,569.17,1090580
2006-04-19,571.16,576.11,576.11,571.16,1163290
2006-04-20,569.79,571.63,571.63,569.79,1666230
2006-04-21,591.39,587.46,591.39,587.46,1749010
2006-04-24,615.14,612.80,615.14,612.80,1215300
2006-04-25,632.69,638.86,638.86,632.69,3766730
2006-04-26,621.53,625.28,625.28,621.53,4274170
2006-04-27,594.02,617.47,617.47,594.02,8291350
2006-04-28,595.48,584.08,595.48,584.08,4498880
2006-05-03,612.11,611.72,612.11,611.72,2701410
2006-05-04,601.34,609.52,609.52,601.34,4262720
2006-05-05,593.89,602.59,602.59,593.89,5488960
2006-05-08,574.25,586.46,586.46,574.25,3244620
2006-05-09,546.40,547.33,547.33,546.40,3677509
2006-05-10,520.82,521.12,521.12,520.82,5272590
2006-05-11,542.95,535.47,542.95,535.47,6005260
2006-05-12,566.76,567.69,567.69,566.76,3506090
2006-05-15,590.25,590.04,590.25,590.04,6708760
2006-05-16,564.52,577.19,577.19,564.52,3951320
2006-05-17,575.54,576.25,576.25,575.54,8072330
2006-05-18,566.11,568.81,568.81,566.11,5891121
2006-05-19,562.33,557.28,562.33,557.28,3288910
2006-05-22,553.37,558.15,558.15,553.37,4906590
2006-05-23,538.60,540.56,540.56,538.60,2842020
2006-05-24,559.55,546.21,559.55,546.21,4074530
2006-05-25,543.41,551.57,551.57,543.41,5343031
2006-05-26,545.39,543.67,545.39,543.67,1575850
2006-05-29,537.30,540.56,540.56,537.30,2756070
2006-05-30,526.01,526.15,526.15,526.01,2225740
2006-05-31,538.91,531.22,538.91,531.22,4004024
2006-06-01,535.18,538.55,538.55,535.18,3589752
2006-06-02,540.23,538.37,540.23,538.37,1593260
2006-06-05,551.26,548.91,551.26,548.91,2223290
2006-06-06,551.79,557.35,557.35,551.79,2253738
2006-06-07,544.55,546.20,546.20,544.55,2161170
2006-06-08,548.19,544.41,548.19,544.41,2806987
2006-06-09,548.79,549.61,549.61,548.79,1915080
2006-06-12,545.98,546.95,546.95,545.98,3361309
2006-06-13,543.90,546.20,546.20,543.90,1637250
2006-06-14,540.96,543.53,543.53,540.96,3513440
2006-06-15,537.48,539.08,539.08,537.48,4017410
2006-06-16,523.70,529.31,529.31,523.63,1214560
2006-06-19,519.47,522.33,522.55,519.47,1865810
2006-06-20,505.94,517.10,517.10,505.94,1202710
2006-06-21,487.86,495.09,495.09,487.86,1982720
2006-06-22,510.15,502.82,510.15,502.82,5409438
2006-06-23,510.62,516.59,516.59,505.80,1254370
2006-06-26,502.94,504.11,506.59,502.94,3225260
2006-06-27,501.56,498.54,501.56,497.79,7058440
2006-06-28,506.46,502.51,506.46,502.51,3388690
2006-06-29,512.29,506.31,512.29,506.27,1577838
2006-06-30,515.59,513.17,515.59,509.23,2535580
2006-07-03,507.31,509.78,510.26,507.31,2056242
2006-07-04,500.49,503.57,503.57,500.49,1648090
2006-07-05,499.80,497.95,500.05,497.95,1859320
2006-07-06,505.26,498.07,505.26,498.07,897480
2006-07-07,508.31,506.18,508.31,506.18,1276300
2006-07-10,504.98,509.10,509.10,504.98,1131020
2006-07-11,504.00,505.77,506.54,504.00,1211580
2006-07-12,502.08,504.80,504.80,502.08,2038260
2006-07-13,509.15,506.45,509.15,506.45,5888460
2006-07-14,506.10,511.99,511.99,506.10,2071685
2006-07-17,494.31,498.22,498.22,494.31,2138360
2006-07-18,484.13,489.23,489.23,484.13,2520000
2006-07-19,466.19,477.13,477.13,466.19,3231870
2006-07-20,485.57,458.54,485.57,458.54,7328600
2006-07-21,472.86,482.45,482.45,472.86,2100550
2006-07-24,460.68,466.60,466.60,460.68,3216810
2006-07-25,439.66,449.94,449.94,439.66,3220751
2006-07-26,434.24,431.06,438.07,431.06,2872110
2006-07-27,441.27,435.13,441.27,435.13,1645760
2006-07-28,439.57,445.10,445.10,439.57,1845940
2006-07-31,422.41,431.47,431.47,422.41,6102355
2006-08-01,404.87,409.67,409.67,404.87,3190564
2006-08-02,399.80,388.82,399.80,388.82,4266790
2006-08-03,417.73,411.86,417.73,411.86,3214730
2006-08-04,435.50,436.12,436.12,435.50,1950710
2006-08-07,423.49,439.95,439.95,423.49,2556420
2006-08-08,433.40,426.02,434.31,426.02,1548130
2006-08-09,430.25,430.97,433.86,430.25,3981958
2006-08-10,432.40,429.18,432.40,429.18,2653270
2006-08-11,443.45,436.68,443.45,436.68,3709680
2006-08-14,464.55,458.97,464.55,458.97,3909239
2006-08-15,460.34,468.26,468.26,460.07,4300860
2006-08-16,476.24,467.94,476.24,467.94,6505909
2006-08-17,483.32,488.78,488.78,483.32,6261070
2006-08-18,482.31,486.00,486.00,482.31,4116620
2006-08-21,482.19,485.18,485.18,482.19,9757670
2006-08-22,470.12,474.55,474.55,470.12,3866098
2006-08-23,478.39,466.97,478.39,466.97,4680056
2006-08-24,479.03,480.75,481.20,479.03,4494350
2006-08-25,477.43,478.10,478.10,476.89,1505150
2006-08-28,483.06,477.45,483.06,477.45,8549670
2006-08-29,488.63,485.62,488.63,485.62,4591680
2006-08-30,492.77,492.95,493.25,492.77,3573660
2006-08-31,491.18,492.53,492.53,490.23,4637460
2006-09-01,498.21,494.75,498.21,494.75,4948350
2006-09-05,515.66,509.87,515.66,509.87,8026263
2006-09-06,517.61,526.87,526.87,517.61,4555250
2006-09-07,511.21,514.77,514.77,511.21,5161370
2006-09-08,513.04,511.45,513.04,511.21,3249660
2006-09-11,511.55,514.87,514.87,511.55,2757180
2006-09-12,500.82,506.11,506.11,500.82,4105450
2006-09-13,510.66,500.42,511.14,500.42,4370976
2006-09-14,505.17,508.97,508.97,505.17,4002250
2006-09-15,509.32,508.29,509.32,508.27,2729910
2006-09-18,510.08,511.10,511.10,509.00,4976000
2006-09-19,515.08,514.03,515.08,514.03,7631740
2006-09-20,514.48,519.54,519.54,514.48,4874070
2006-09-21,513.37,515.81,515.81,513.32,2678150
2006-09-22,513.75,511.61,513.75,511.61,3737513
2006-09-25,515.09,514.51,515.09,514.25,2252320
2006-09-26,520.05,516.81,520.05,516.81,5011546
2006-09-27,520.42,522.21,522.21,520.42,2878680
2006-09-28,527.74,522.18,527.74,522.18,10770191
2006-09-29,526.73,531.88,531.88,526.73,5197600
2006-10-02,531.68,529.57,531.68,529.57,8315210
2006-10-03,537.87,538.09,538.09,536.47,3276410
2006-10-04,541.91,545.55,545.55,541.91,4290176
2006-10-05,534.73,542.82,542.82,534.73,5023370
2006-10-06,536.48,532.93,536.48,532.93,2015340
2006-10-09,535.13,537.52,537.52,535.13,4830538
2006-10-10,527.18,531.97,531.97,527.18,3389080
2006-10-11,524.67,524.73,525.00,524.67,3370508
2006-10-12,525.22,527.16,527.16,525.22,6783506
2006-10-13,525.93,524.98,526.12,524.98,2243040
2006-10-16,526.34,527.01,527.01,526.34,7749450
2006-10-17,518.71,523.28,523.28,518.71,3263810
2006-10-18,518.58,517.93,518.58,517.88,5656710
2006-10-19,524.59,522.69,524.59,522.49,7273092
2006-10-20,528.42,527.91,528.42,527.91,5782580
2006-10-23,525.92,526.05,526.05,525.92,5814150
2006-10-24,525.75,526.08,526.08,525.75,4212661
2006-10-25,524.25,525.02,525.39,524.25,2995360
2006-10-26,524.99,524.59,524.99,524.35,4661360
2006-10-27,521.04,520.71,521.23,520.71,3348620
2006-10-30,512.40,518.01,518.01,512.40,1886080
2006-10-31,511.54,505.23,511.54,505.23,2734070
2006-11-01,521.38,516.80,521.38,516.80,3041750
2006-11-02,516.95,523.10,523.10,516.95,2655390
2006-11-03,513.74,514.11,514.11,513.74,1195480
2006-11-06,517.11,513.89,517.11,513.89,6305430
2006-11-07,520.03,519.74,520.48,519.74,2460570
2006-11-08,525.99,524.28,525.99,524.28,4483610
2006-11-09,531.69,530.14,531.69,530.14,2681030
2006-11-10,530.81,537.43,537.43,530.81,6616580
2006-11-13,537.28,534.04,537.28,534.04,7176740
2006-11-14,555.77,549.44,555.77,549.44,6459440
2006-11-15,563.09,570.63,570.63,563.09,7485270
2006-11-16,559.83,556.42,559.83,556.42,8492989
2006-11-17,573.79,563.12,573.79,563.12,7179170
2006-11-20,584.26,590.07,590.07,584.26,6075505
2006-11-21,598.22,596.23,599.01,596.23,7160159
2006-11-22,610.16,609.46,610.16,607.93,5325750
2006-11-23,636.95,632.53,637.20,632.53,9420844
2006-11-24,665.53,666.04,666.26,665.53,9539028
2006-11-27,640.15,687.72,687.72,640.15,8580720
2006-11-28,638.00,635.63,647.08,635.63,5419340
2006-11-29,616.58,612.16,616.58,612.16,5599800
2006-11-30,633.05,616.77,633.05,616.77,8413280
2006-12-01,631.29,637.07,637.07,631.29,3425920
2006-12-04,640.65,638.89,640.74,638.89,4645900
2006-12-05,644.60,644.26,644.60,642.94,4395010
2006-12-06,655.13,651.18,655.13,651.18,6045240
2006-12-07,677.14,670.13,677.14,670.13,1594230
2006-12-08,696.12,696.12,696.12,696.12,1202500
2006-12-11,723.84,721.60,724.29,721.60,12579421
2006-12-12,716.64,748.58,748.58,716.64,12498955
2006-12-13,740.57,740.29,740.57,738.81,8937770
2006-12-14,757.17,766.59,766.59,757.17,9687460
2006-12-15,775.56,773.47,775.56,773.47,8398370
2006-12-18,779.57,775.56,779.57,775.56,9960635
2006-12-19,799.31,779.57,799.31,779.57,9285725
2006-12-20,809.86,799.31,809.86,799.31,8210400
2006-12-21,778.88,778.88,778.88,778.88,11031900
2006-12-22,744.20,778.90,744.20,778.90,4749980
2006-12-25,734.66,734.66,734.66,734.66,9759523
2006-12-26,747.82,747.82,747.82,747.82,8658660
2006-12-27,754.63,754.63,754.63,754.63,9367580
2006-12-28,753.81,753.81,753.81,753.81,10479711
2006-12-29,751.77,751.77,751.77,751.77,5286476
2007-01-02,741.27,741.27,741.27,741.27,6348000
2007-01-03,757.71,757.71,757.71,757.71,5928424
2007-01-04,788.82,788.82,788.82,788.82,10796630
2007-01-05,816.51,816.51,816.51,816.51,11077094
2007-01-08,825.11,825.11,825.11,825.11,8758760
2007-01-09,844.91,844.91,844.91,844.91,11760320
2007-01-10,865.71,866.72,866.72,864.75,9064193
2007-01-11,885.43,885.43,885.43,885.43,5077230
2007-01-12,914.79,914.79,914.79,914.79,10160500
2007-01-15,947.15,947.15,947.15,947.15,9940185
2007-01-16,983.60,983.60,983.60,983.60,9361760
2007-01-17,964.96,964.96,964.96,964.96,12409980
2007-01-18,946.84,946.84,946.84,946.84,3803420
2007-01-19,"1,023.05","1,023.05","1,023.05","1,023.05",9720710
2007-01-22,"1,027.70","1,027.70","1,027.70","1,027.70",14460310
2007-01-23,"1,040.70","1,040.70","1,040.70","1,040.70",8156140
2007-01-24,"1,016.39","1,016.39","1,016.39","1,016.39",11717496
2007-01-25,988.86,988.86,988.86,988.86,14373610
2007-01-26,974.76,974.76,974.76,974.76,13345090
2007-01-29,995.55,995.55,995.55,995.55,9608140
2007-01-30,"1,023.97","1,023.97","1,023.97","1,023.97",5033880
2007-01-31,"1,041.33","1,041.33","1,041.33","1,041.33",10423410
2007-02-01,"1,049.32","1,049.32","1,049.32","1,049.32",14953672
2007-02-02,"1,074.55","1,074.55","1,074.55","1,074.55",7698660
2007-02-05,"1,058.71","1,058.71","1,058.71","1,058.71",11509880
2007-02-06,"1,091.38","1,091.38","1,091.38","1,091.38",10394510
2007-02-07,"1,095.75","1,095.75","1,095.75","1,095.75",8643740
2007-02-08,"1,052.86","1,052.86","1,052.86","1,052.86",8016080
2007-02-09,"1,030.90","1,030.90","1,030.90","1,030.90",9985889
2007-02-12,"1,054.26","1,054.26","1,054.26","1,054.26",9985889
2007-02-13,"1,074.46","1,074.46","1,074.46","1,074.46",8319270
2007-02-14,"1,073.19","1,073.19","1,073.19","1,073.19",12004670
2007-02-15,"1,083.25","1,083.25","1,083.25","1,083.25",6847710
2007-02-26,"1,129.02","1,129.02","1,129.02","1,129.02",8416137
2007-02-27,"1,167.36","1,167.36","1,167.36","1,167.36",9840080
2007-02-28,"1,137.69","1,137.69","1,137.69","1,137.69",15495355
2007-03-01,"1,123.07","1,123.07","1,123.07","1,123.07",10623165
2007-03-02,"1,147.66","1,147.66","1,147.66","1,147.66",19246830
2007-03-05,"1,158.90","1,158.90","1,158.90","1,158.90",10527248
2007-03-06,"1,133.31","1,133.31","1,133.31","1,133.31",10264206
2007-03-07,"1,132.23","1,132.23","1,132.23","1,132.23",10777971
2007-03-08,"1,141.59","1,141.59","1,141.59","1,141.59",9874270
2007-03-09,"1,155.68","1,155.68","1,155.68","1,155.68",13218547
2007-03-12,"1,170.67","1,170.67","1,170.67","1,170.67",13361620
2007-03-13,"1,158.27","1,158.27","1,158.27","1,158.27",16748374
2007-03-14,"1,114.21","1,114.21","1,114.21","1,114.21",15940554
2007-03-15,"1,065.52","1,065.52","1,065.52","1,065.52",10637310
2007-03-16,"1,109.76","1,109.76","1,109.76","1,109.76",11522490
2007-03-19,"1,133.34","1,133.34","1,133.34","1,133.34",12099700
2007-03-20,"1,117.25","1,117.25","1,117.25","1,117.25",12201150
2007-03-21,"1,111.63","1,111.63","1,111.63","1,111.63",10440620
2007-03-22,"1,099.82","1,099.82","1,099.82","1,099.82",9466027
2007-03-23,"1,090.56","1,090.56","1,090.56","1,090.56",8265340
2007-03-26,"1,072.16","1,072.16","1,072.16","1,072.16",9964960
2007-03-27,"1,034.24","1,034.24","1,034.24","1,034.24",7292297
2007-03-28,"1,031.79","1,031.79","1,031.79","1,031.79",9309660
2007-03-29,"1,068.71","1,068.71","1,068.71","1,068.71",10182000
2007-03-30,"1,071.33","1,071.33","1,071.33","1,071.33",12097100
2007-04-02,"1,055.10","1,055.10","1,055.10","1,055.10",7755580
2007-04-03,"1,027.53","1,027.53","1,027.53","1,027.53",6941460
2007-04-04,"1,050.90","1,050.90","1,050.90","1,050.90",9133374
2007-04-05,"1,048.98","1,048.98","1,048.98","1,048.98",8464225
2007-04-06,"1,033.92","1,033.92","1,033.92","1,033.92",7972335
2007-04-09,"1,041.36","1,041.36","1,041.36","1,041.36",6015600
2007-04-10,"1,039.67","1,039.67","1,039.67","1,039.67",6140660
2007-04-11,"1,034.68","1,034.68","1,034.68","1,034.68",4260930
2007-04-12,"1,027.58","1,027.58","1,027.58","1,027.58",4626430
2007-04-13,"1,012.98","1,012.98","1,012.98","1,012.98",6686440
2007-04-16,983.00,983.00,983.00,983.00,5508707
2007-04-17,965.72,965.72,965.72,965.72,6683360
2007-04-18,"1,001.12","1,001.12","1,001.12","1,001.12",4305800
2007-04-19,998.09,998.09,998.09,998.09,8986729
2007-04-20,968.88,968.88,968.88,968.88,5094170
2007-04-23,931.18,931.18,931.18,931.18,5746780
2007-04-24,905.53,905.53,905.53,905.53,6026121
2007-04-25,923.89,923.89,923.89,923.89,8357280
2007-05-02,935.48,935.48,935.48,935.48,7687850
2007-05-03,937.46,937.46,937.46,937.46,5411750
2007-05-04,947.19,947.19,947.19,947.19,4474020
2007-05-07,983.62,983.62,983.62,983.62,5753772
2007-05-08,"1,015.43","1,015.43","1,015.43","1,015.43",9926831
2007-05-09,"1,019.96","1,019.96","1,019.96","1,019.96",8323270
2007-05-10,"1,020.04","1,020.04","1,020.04","1,020.04",7988520
2007-05-11,"1,039.63","1,039.63","1,039.63","1,039.63",9644650
2007-05-14,"1,066.04","1,066.04","1,066.04","1,066.04",6110220
2007-05-15,"1,054.69","1,054.69","1,054.69","1,054.69",8497726
2007-05-16,"1,040.99","1,040.99","1,040.99","1,040.99",8755600
2007-05-17,"1,059.79","1,059.79","1,059.79","1,059.79",11249340
2007-05-18,"1,066.56","1,066.56","1,066.56","1,066.56",6509690
2007-05-21,"1,085.41","1,085.41","1,085.41","1,085.41",7904925
2007-05-22,"1,107.52","1,107.52","1,107.52","1,107.52",11783380
2007-05-23,"1,113.19","1,113.19","1,113.19","1,113.19",10850665
2007-05-24,"1,085.30","1,085.30","1,085.30","1,085.30",8450960
2007-05-25,"1,089.60","1,089.60","1,089.60","1,089.60",9134800
2007-05-28,"1,098.64","1,098.64","1,098.64","1,098.64",7183115
2007-05-29,"1,093.77","1,093.77","1,093.77","1,093.77",7103260
2007-05-30,"1,077.88","1,077.88","1,077.88","1,077.88",5326187
2007-05-31,"1,081.48","1,081.48","1,081.48","1,081.48",6024440
2007-06-01,"1,077.36","1,077.36","1,077.36","1,077.36",5593365
2007-06-04,"1,062.10","1,062.10","1,062.10","1,062.10",7578978
2007-06-05,"1,039.66","1,039.66","1,039.66","1,039.66",8164480
2007-06-06,"1,045.29","1,045.29","1,045.29","1,045.29",7047890
2007-06-07,"1,060.02","1,060.02","1,060.02","1,060.02",12734621
2007-06-08,"1,057.36","1,057.36","1,057.36","1,057.36",8582800
2007-06-11,"1,040.75","1,040.75","1,040.75","1,040.75",7114440
2007-06-12,"1,036.54","1,036.54","1,036.54","1,036.54",10783320
2007-06-13,"1,038.80","1,038.80","1,038.80","1,038.80",9075440
2007-06-14,"1,042.79","1,042.79","1,042.79","1,042.79",7804850
2007-06-15,"1,048.19","1,048.19","1,048.19","1,048.19",5689725
2007-06-18,"1,043.99","1,043.99","1,043.99","1,043.99",10580050
2007-06-19,"1,049.58","1,049.58","1,049.58","1,049.58",8661632
2007-06-20,"1,045.28","1,045.28","1,045.28","1,045.28",7214750
2007-06-21,"1,034.43","1,034.43","1,034.43","1,034.43",5685130
2007-06-22,"1,033.69","1,033.69","1,033.69","1,033.69",6791295
2007-06-25,"1,044.39","1,044.39","1,044.39","1,044.39",7441197
2007-06-26,"1,055.70","1,055.70","1,055.70","1,055.70",7485965
2007-06-27,"1,032.96","1,032.96","1,032.96","1,032.96",9286295
2007-06-28,"1,024.04","1,024.04","1,024.04","1,024.04",8672866
2007-06-29,"1,024.68","1,024.68","1,024.68","1,024.68",4340530
2007-07-02,994.17,994.17,994.17,994.17,7620810
2007-07-03,977.30,977.30,977.30,977.30,7178690
2007-07-04,"1,013.56","1,013.56","1,013.56","1,013.56",6860695
2007-07-05,"1,012.82","1,012.82","1,012.82","1,012.82",8645670
2007-07-06,"1,010.53","1,010.53","1,010.53","1,010.53",5982413
2007-07-09,"1,010.27","1,010.27","1,010.27","1,010.27",7114530
2007-07-10,"1,023.04","1,023.04","1,023.04","1,023.04",5505090
2007-07-11,"1,029.85","1,029.85","1,029.85","1,029.85",5727550
2007-07-12,"1,017.68","1,017.68","1,017.68","1,017.68",6316950
2007-07-13,"1,015.73","1,015.73","1,015.73","1,015.73",6276530
2007-07-16,995.83,995.83,995.83,995.83,6167960
2007-07-17,"1,000.33","1,000.33","1,000.33","1,000.33",6379010
2007-07-18,994.73,994.73,994.73,994.73,4921620
2007-07-19,984.43,984.43,984.43,984.43,6026310
2007-07-20,981.31,981.31,981.31,981.31,4972590
2007-07-23,979.23,979.23,979.23,979.23,5599498
2007-07-24,982.43,982.43,982.43,982.43,7413877
2007-07-25,972.56,972.56,972.56,972.56,5478480
2007-07-26,956.13,956.13,956.13,956.13,7609390
2007-07-27,940.36,940.36,940.36,940.36,5218535
2007-07-30,925.44,925.44,925.44,925.44,3296340
2007-07-31,907.95,907.95,907.95,907.95,6578310
2007-08-01,923.14,923.14,923.14,923.14,6790610
2007-08-02,911.18,911.18,911.18,911.18,6596810
2007-08-03,892.88,892.88,892.88,892.88,5899770
2007-08-06,883.90,883.90,883.90,883.90,4233060
2007-08-07,896.91,896.91,896.91,896.91,4162380
